author;coverPicFileName;Image-URL-M;description;isbn;language;numOfPages;price;publishDate;publisher;title;Image-URL-L;Year-Of-Publication
Tom Clancy;;http://images.amazon.com/images/P/0425161722.01.MZZZZZZZ.jpg;;425161722;;;;;Berkley Publishing Group;Net Force;http://images.amazon.com/images/P/0425161722.01.LZZZZZZZ.jpg;1999
John Grisham;;http://images.amazon.com/images/P/0385493800.01.MZZZZZZZ.jpg;;385493800;;;;;Doubleday Books;The Testament;http://images.amazon.com/images/P/0385493800.01.LZZZZZZZ.jpg;1999
Walter P. Wilson;;http://images.amazon.com/images/P/0849916399.01.MZZZZZZZ.jpg;;849916399;;;;;W Publishing Group;The Internet Church;http://images.amazon.com/images/P/0849916399.01.LZZZZZZZ.jpg;2000
Bruce Fries;;http://images.amazon.com/images/P/1928791107.01.MZZZZZZZ.jpg;;1928791107;;;;;Teamcom Books;The Mp3 and Internet Audio Handbook: Your Guide to the Digital Music Revolution;http://images.amazon.com/images/P/1928791107.01.LZZZZZZZ.jpg;2000
Rush H., III Limbaugh;;http://images.amazon.com/images/P/067175145X.01.MZZZZZZZ.jpg;;067175145X;;;;;Pocket Books;The Way Things Ought to Be;http://images.amazon.com/images/P/067175145X.01.LZZZZZZZ.jpg;1992
JOHN GRISHAM;;http://images.amazon.com/images/P/0440211727.01.MZZZZZZZ.jpg;;440211727;;;;;Dell;A Time to Kill;http://images.amazon.com/images/P/0440211727.01.LZZZZZZZ.jpg;1992
Anne Dingus;;http://images.amazon.com/images/P/0877192820.01.MZZZZZZZ.jpg;;877192820;;;;;Gulf Publishing Company;The Truth About Texas: Who Needs to Brag? We'Ve Got the Facts;http://images.amazon.com/images/P/0877192820.01.LZZZZZZZ.jpg;1995
Kate Chopin;;http://images.amazon.com/images/P/0380002450.01.MZZZZZZZ.jpg;;380002450;;;;;Avon;Awakening;http://images.amazon.com/images/P/0380002450.01.LZZZZZZZ.jpg;1982
Kirk Kazanjian;;http://images.amazon.com/images/P/0793133955.01.MZZZZZZZ.jpg;;793133955;;;;;Dearborn Financial Publishing;Wall Street's Picks for 2000: An Insider's Guide to the Year's Best Stocks &amp Mutual Funds (Wall Street's Picks);http://images.amazon.com/images/P/0793133955.01.LZZZZZZZ.jpg;1999
Donald Merriam Allen;;http://images.amazon.com/images/P/0394178017.01.MZZZZZZZ.jpg;;394178017;;;;;Grove Press;Poetics of the New American Poetry;http://images.amazon.com/images/P/0394178017.01.LZZZZZZZ.jpg;1974
Tom Clancy;;http://images.amazon.com/images/P/0425134350.01.MZZZZZZZ.jpg;;425134350;;;;;Berkley Publishing Group;Patriot Games;http://images.amazon.com/images/P/0425134350.01.LZZZZZZZ.jpg;1992
William Maples;;http://images.amazon.com/images/P/0385479689.01.MZZZZZZZ.jpg;;385479689;;;;;Main Street Books;Dead Men Do Tell Tales: The Strange and Fascinating Cases of a Forensic Anthropologist;http://images.amazon.com/images/P/0385479689.01.LZZZZZZZ.jpg;1995
Carl Hausman;;http://images.amazon.com/images/P/0380754851.01.MZZZZZZZ.jpg;;380754851;;;;;Harpercollins;Moonlighting: 148 Great Ways to Make Money on the Side;http://images.amazon.com/images/P/0380754851.01.LZZZZZZZ.jpg;1991
Richard Peck;;http://images.amazon.com/images/P/0380538504.01.MZZZZZZZ.jpg;;380538504;;;;;Harper Mass Market Paperbacks (Mm);Amanda Miranda;http://images.amazon.com/images/P/0380538504.01.LZZZZZZZ.jpg;1981
Michael Connelly;;http://images.amazon.com/images/P/044661162X.01.MZZZZZZZ.jpg;;044661162X;;;;;Warner Books;Chasing the Dime;http://images.amazon.com/images/P/044661162X.01.LZZZZZZZ.jpg;2003
Judith McNaught;;http://images.amazon.com/images/P/0671742566.01.MZZZZZZZ.jpg;;671742566;;;;;Pocket;Tender Triumph (Sonnet Books);http://images.amazon.com/images/P/0671742566.01.LZZZZZZZ.jpg;1991
Lilian Jackson Braun;;http://images.amazon.com/images/P/0515122408.01.MZZZZZZZ.jpg;;515122408;;;;;Jove Books;The Cat Who Tailed a Thief;http://images.amazon.com/images/P/0515122408.01.LZZZZZZZ.jpg;1998
John T. Lescroart;;http://images.amazon.com/images/P/0440222818.01.MZZZZZZZ.jpg;;440222818;;;;;Island;Guilt;http://images.amazon.com/images/P/0440222818.01.LZZZZZZZ.jpg;1998
John Jakes;;http://images.amazon.com/images/P/0451204050.01.MZZZZZZZ.jpg;;451204050;;;;;Signet Book;On Secret Service;http://images.amazon.com/images/P/0451204050.01.LZZZZZZZ.jpg;2001
Alice McDermott;;http://images.amazon.com/images/P/038533334X.01.MZZZZZZZ.jpg;;038533334X;;;;;Delta;Charming Billy;http://images.amazon.com/images/P/038533334X.01.LZZZZZZZ.jpg;1999
Hilary Bailey;;http://images.amazon.com/images/P/0449131548.01.MZZZZZZZ.jpg;;449131548;;;;;Fawcett Books;All the Days of My Life;http://images.amazon.com/images/P/0449131548.01.LZZZZZZZ.jpg;1986
Howard Fast;;http://images.amazon.com/images/P/0440120470.01.MZZZZZZZ.jpg;;440120470;;;;;Dell Publishing Company;The Dinner Party;http://images.amazon.com/images/P/0440120470.01.LZZZZZZZ.jpg;1991
Jessica Fletcher;;http://images.amazon.com/images/P/0451188209.01.MZZZZZZZ.jpg;;451188209;;;;;Signet Book;A Palette for Murder: Murder She Wrote (Murder She Wrote (Paperback));http://images.amazon.com/images/P/0451188209.01.LZZZZZZZ.jpg;1996
Belva Plain;;http://images.amazon.com/images/P/0440130913.01.MZZZZZZZ.jpg;;440130913;;;;;Dell;Golden Cup;http://images.amazon.com/images/P/0440130913.01.LZZZZZZZ.jpg;1987
Margaret Truman;;http://images.amazon.com/images/P/0449001954.01.MZZZZZZZ.jpg;;449001954;;;;;Fawcett Books;Murder at the Library of Congress (Capital Crimes (Paperback));http://images.amazon.com/images/P/0449001954.01.LZZZZZZZ.jpg;2001
RICHARD NORTH PATTERSON;;http://images.amazon.com/images/P/0345404777.01.MZZZZZZZ.jpg;;345404777;;;;;Ballantine Books;No Safe Place;http://images.amazon.com/images/P/0345404777.01.LZZZZZZZ.jpg;1999
Eileen Goudge;;http://images.amazon.com/images/P/0451185277.01.MZZZZZZZ.jpg;;451185277;;;;;Signet Book;Thorns of Truth;http://images.amazon.com/images/P/0451185277.01.LZZZZZZZ.jpg;1999
DANIELLE STEEL;;http://images.amazon.com/images/P/0440224829.01.MZZZZZZZ.jpg;;440224829;;;;;Random House, Inc.;Granny Dan;http://images.amazon.com/images/P/0440224829.01.LZZZZZZZ.jpg;2000
Arnette Lamb;;http://images.amazon.com/images/P/0671779338.01.MZZZZZZZ.jpg;;671779338;;;;;Pocket;Border Bride;http://images.amazon.com/images/P/0671779338.01.LZZZZZZZ.jpg;1993
Catherine Coulter;;http://images.amazon.com/images/P/0515134368.01.MZZZZZZZ.jpg;;515134368;;;;;Jove Books;The Penwyth Curse;http://images.amazon.com/images/P/0515134368.01.LZZZZZZZ.jpg;2004
Piers Anthony;;http://images.amazon.com/images/P/0380759497.01.MZZZZZZZ.jpg;;380759497;;;;;Eos;Xanth 15: The Color of Her Panties;http://images.amazon.com/images/P/0380759497.01.LZZZZZZZ.jpg;1992
Anne Rice;;http://images.amazon.com/images/P/3442098424.01.MZZZZZZZ.jpg;;3442098424;;;;;Goldmann;Der FÃ?Â¼rst der Finsternis. Roman.;http://images.amazon.com/images/P/3442098424.01.LZZZZZZZ.jpg;1992
WALTER CRONKITE;;http://images.amazon.com/images/P/0394578791.01.MZZZZZZZ.jpg;;394578791;;;;;Knopf;A Reporter's Life;http://images.amazon.com/images/P/0394578791.01.LZZZZZZZ.jpg;1996
Tom Mula;;http://images.amazon.com/images/P/1558505377.01.MZZZZZZZ.jpg;;1558505377;;;;;Adams Media Corp;Jacob Marley's Christmas Carol;http://images.amazon.com/images/P/1558505377.01.LZZZZZZZ.jpg;1995
Lois Faye Dyer;;http://images.amazon.com/images/P/0373245696.01.MZZZZZZZ.jpg;;373245696;;;;;Silhouette;Practice Makes Pregnant   Manhattan Multiples (Silhouette Special Edition, 1569);http://images.amazon.com/images/P/0373245696.01.LZZZZZZZ.jpg;2003
Sir Arthur Conan Doyle;;http://images.amazon.com/images/P/068983571X.01.MZZZZZZZ.jpg;;068983571X;;;;;Aladdin;Hound of the Baskervilles (Aladdin Classics);http://images.amazon.com/images/P/068983571X.01.LZZZZZZZ.jpg;2000
AGATHA CHRISTIE;;http://images.amazon.com/images/P/0553256785.01.MZZZZZZZ.jpg;;553256785;;;;;Bantam;SLEEPING MURDER;http://images.amazon.com/images/P/0553256785.01.LZZZZZZZ.jpg;1983
Mark Cohen;;http://images.amazon.com/images/P/0892967994.01.MZZZZZZZ.jpg;;892967994;;;;;Mysterious Press;The Fractal Murders (Pepper Keane Mysteries);http://images.amazon.com/images/P/0892967994.01.LZZZZZZZ.jpg;2004
Sherry Shahan;;http://images.amazon.com/images/P/0061064505.01.MZZZZZZZ.jpg;;61064505;;;;;Harpercollins Juvenile Books;Blowtorch Psycho.Com (Bone Chillers, No 18);http://images.amazon.com/images/P/0061064505.01.LZZZZZZZ.jpg;1997
Helen Myers;;http://images.amazon.com/images/P/1551668785.01.MZZZZZZZ.jpg;;1551668785;;;;;Mira;Final Stand;http://images.amazon.com/images/P/1551668785.01.LZZZZZZZ.jpg;2002
Della Rowland;;http://images.amazon.com/images/P/0836230868.01.MZZZZZZZ.jpg;;836230868;;;;;Andrews McMeel Publishing;Christmas : A Holiday Treasury;http://images.amazon.com/images/P/0836230868.01.LZZZZZZZ.jpg;1994
Irving. Adler;;http://images.amazon.com/images/P/0381999866.01.MZZZZZZZ.jpg;;381999866;;;;;Harpercollins Library;Magic House of Numbers.;http://images.amazon.com/images/P/0381999866.01.LZZZZZZZ.jpg;1974
Elizabeth Peters;;http://images.amazon.com/images/P/0380817144.01.MZZZZZZZ.jpg;;380817144;;;;;Avon;Lord of the Silent: A Novel of Suspense;http://images.amazon.com/images/P/0380817144.01.LZZZZZZZ.jpg;2002
Shirlee Busbee;;http://images.amazon.com/images/P/0380752115.01.MZZZZZZZ.jpg;;380752115;;;;;Harper Mass Market Paperbacks;Whisper to Me of Love;http://images.amazon.com/images/P/0380752115.01.LZZZZZZZ.jpg;1991
EMILY BRONTE;;http://images.amazon.com/images/P/0553212583.01.MZZZZZZZ.jpg;;553212583;;;;;Bantam;Wuthering Heights;http://images.amazon.com/images/P/0553212583.01.LZZZZZZZ.jpg;1983
Sidney Sheldon;;http://images.amazon.com/images/P/0446364762.01.MZZZZZZZ.jpg;;446364762;;;;;Warner Books;The Stars Shine Down;http://images.amazon.com/images/P/0446364762.01.LZZZZZZZ.jpg;1993
Robin Cook;;http://images.amazon.com/images/P/0425166619.01.MZZZZZZZ.jpg;;425166619;;;;;Berkley Publishing Group;Toxin;http://images.amazon.com/images/P/0425166619.01.LZZZZZZZ.jpg;1999
Frank E. Peretti;;http://images.amazon.com/images/P/061312975X.01.MZZZZZZZ.jpg;;061312975X;;;;;Sagebrush Bound;This Present Darkness;http://images.amazon.com/images/P/061312975X.01.LZZZZZZZ.jpg;1999
John A. Keel;;http://images.amazon.com/images/P/0765341972.01.MZZZZZZZ.jpg;;765341972;;;;;Tor Books;The Mothman Prophecies;http://images.amazon.com/images/P/0765341972.01.LZZZZZZZ.jpg;2002
Stefanie Scott;;http://images.amazon.com/images/P/0590514776.01.MZZZZZZZ.jpg;;590514776;;;;;Scholastic;Meet the Stars of Buffy the Vampire Slayer;http://images.amazon.com/images/P/0590514776.01.LZZZZZZZ.jpg;1998
Rebecca Winters;;http://images.amazon.com/images/P/0373037430.01.MZZZZZZZ.jpg;;373037430;;;;;Harlequin;Rush to the Altar  (Twin Brides);http://images.amazon.com/images/P/0373037430.01.LZZZZZZZ.jpg;2003
Meg Cabot;;http://images.amazon.com/images/P/0064472779.01.MZZZZZZZ.jpg;;64472779;;;;;HarperTrophy;All-American Girl;http://images.amazon.com/images/P/0064472779.01.LZZZZZZZ.jpg;2003
Tanith Lee;;http://images.amazon.com/images/P/0553581279.01.MZZZZZZZ.jpg;;553581279;;;;;Spectra Books;The Silver Metal Lover;http://images.amazon.com/images/P/0553581279.01.LZZZZZZZ.jpg;1999
Cathy Gillen Thacker;;http://images.amazon.com/images/P/0373750013.01.MZZZZZZZ.jpg;;373750013;;;;;Harlequin;The Virgin's Secret Marriage   The Brides Of Holly Springs (Harlequin American Romance, No. 997);http://images.amazon.com/images/P/0373750013.01.LZZZZZZZ.jpg;2003
Richard Burton;;http://images.amazon.com/images/P/0393030342.01.MZZZZZZZ.jpg;;393030342;;;;;W W Norton &amp Co Inc;A Christmas Story;http://images.amazon.com/images/P/0393030342.01.LZZZZZZZ.jpg;1991
TAMI HOAG;;http://images.amazon.com/images/P/0553561618.01.MZZZZZZZ.jpg;;553561618;;;;;Bantam;Dark Paradise;http://images.amazon.com/images/P/0553561618.01.LZZZZZZZ.jpg;1994
Beverly Hastings;;http://images.amazon.com/images/P/0425139069.01.MZZZZZZZ.jpg;;425139069;;;;;Berkley Publishing Group;Somebody Help Me;http://images.amazon.com/images/P/0425139069.01.LZZZZZZZ.jpg;1993
Cyrano de Bergerac;;http://images.amazon.com/images/P/0450029956.01.MZZZZZZZ.jpg;;450029956;;;;;New English Library;Other worlds: The comical history of the states and empires of the moon and sun (Science fiction master series);http://images.amazon.com/images/P/0450029956.01.LZZZZZZZ.jpg;1976
James C. Robertson;;http://images.amazon.com/images/P/0130139165.01.MZZZZZZZ.jpg;;130139165;;;;;Pearson Education;Introduction to Fire Prevention (5th Edition);http://images.amazon.com/images/P/0130139165.01.LZZZZZZZ.jpg;2000
Teresa Southwick;;http://images.amazon.com/images/P/0373196741.01.MZZZZZZZ.jpg;;373196741;;;;;Silhouette;To Catch A Sheik  (Desert Brides);http://images.amazon.com/images/P/0373196741.01.LZZZZZZZ.jpg;2003
Kate Chopin;;http://images.amazon.com/images/P/0451524489.01.MZZZZZZZ.jpg;;451524489;;;;;Signet Book;The Awakening and Selected Stories of Kate Chopin (Signet Classic);http://images.amazon.com/images/P/0451524489.01.LZZZZZZZ.jpg;1995
Judith Guest;;http://images.amazon.com/images/P/0140065172.01.MZZZZZZZ.jpg;;140065172;;;;;Penguin Books;Ordinary People;http://images.amazon.com/images/P/0140065172.01.LZZZZZZZ.jpg;1993
JOHN GRISHAM;;http://images.amazon.com/images/P/044022165X.01.MZZZZZZZ.jpg;;044022165X;;;;;Dell;The Rainmaker;http://images.amazon.com/images/P/044022165X.01.LZZZZZZZ.jpg;1996
Sandra Field;;http://images.amazon.com/images/P/0373123485.01.MZZZZZZZ.jpg;;373123485;;;;;Harlequin;On The Tycoon's Terms   Do Not Disturb! (Harlequin Presents, 2348);http://images.amazon.com/images/P/0373123485.01.LZZZZZZZ.jpg;2003
Helen Brooks;;http://images.amazon.com/images/P/0373123108.01.MZZZZZZZ.jpg;;373123108;;;;;Harlequin;Sleeping Partners  (Nine to Five);http://images.amazon.com/images/P/0373123108.01.LZZZZZZZ.jpg;2003
Blanche Fisher Wright;;http://images.amazon.com/images/P/0590225170.01.MZZZZZZZ.jpg;;590225170;;;;;Scholastic;The Real Mother Goose;http://images.amazon.com/images/P/0590225170.01.LZZZZZZZ.jpg;1994
Robin Cook;;http://images.amazon.com/images/P/0399143165.01.MZZZZZZZ.jpg;;399143165;;;;;Putnam Pub Group;Toxin;http://images.amazon.com/images/P/0399143165.01.LZZZZZZZ.jpg;1998
George Gately;;http://images.amazon.com/images/P/044132231X.01.MZZZZZZZ.jpg;;044132231X;;;;;Diamond Books (NY);Heathcliff Gone Fishing;http://images.amazon.com/images/P/044132231X.01.LZZZZZZZ.jpg;1985
Dean R. Koontz;;http://images.amazon.com/images/P/0425124347.01.MZZZZZZZ.jpg;;425124347;;;;;Berkley Publishing Group;The Bad Place;http://images.amazon.com/images/P/0425124347.01.LZZZZZZZ.jpg;1994
James Lee Burke;;http://images.amazon.com/images/P/0786889705.01.MZZZZZZZ.jpg;;786889705;;;;;Hyperion;Two for Texas;http://images.amazon.com/images/P/0786889705.01.LZZZZZZZ.jpg;2000
Michael Chabon;;http://images.amazon.com/images/P/0312282990.01.MZZZZZZZ.jpg;;312282990;;;;;Picador;The Amazing Adventures of Kavalier &amp Clay;http://images.amazon.com/images/P/0312282990.01.LZZZZZZZ.jpg;2001
Barbara Michaels;;http://images.amazon.com/images/P/0425137945.01.MZZZZZZZ.jpg;;425137945;;;;;Berkley Publishing Group;Greygallows;http://images.amazon.com/images/P/0425137945.01.LZZZZZZZ.jpg;1993
Barbara Michaels;;http://images.amazon.com/images/P/042512892X.01.MZZZZZZZ.jpg;;042512892X;;;;;Berkley Publishing Group;Into the Darkness;http://images.amazon.com/images/P/042512892X.01.LZZZZZZZ.jpg;1996
Barbara Michaels;;http://images.amazon.com/images/P/0425113892.01.MZZZZZZZ.jpg;;425113892;;;;;Berkley Publishing Group;Someone in the House;http://images.amazon.com/images/P/0425113892.01.LZZZZZZZ.jpg;1989
Norton Juster;;http://images.amazon.com/images/P/0394820371.01.MZZZZZZZ.jpg;;394820371;;;;;Yearling Books;The Phantom Tollbooth;http://images.amazon.com/images/P/0394820371.01.LZZZZZZZ.jpg;1993
Michael Blake;;http://images.amazon.com/images/P/0449134482.01.MZZZZZZZ.jpg;;449134482;;;;;Fawcett Books;Dances With Wolves;http://images.amazon.com/images/P/0449134482.01.LZZZZZZZ.jpg;1990
John Bellairs;;http://images.amazon.com/images/P/014036336X.01.MZZZZZZZ.jpg;;014036336X;;;;;Puffin Books;The House With a Clock in Its Walls;http://images.amazon.com/images/P/014036336X.01.LZZZZZZZ.jpg;1993
CARL HIAASEN;;http://images.amazon.com/images/P/0375821813.01.MZZZZZZZ.jpg;;375821813;;;;;Knopf Books for Young Readers;Hoot (Newbery Honor Book);http://images.amazon.com/images/P/0375821813.01.LZZZZZZZ.jpg;2002
Carole Nelson Douglas;;http://images.amazon.com/images/P/0812516826.01.MZZZZZZZ.jpg;;812516826;;;;;Forge Books;Catnap : A Midnight Louie Mystery (A Midnight Louie Mystery);http://images.amazon.com/images/P/0812516826.01.LZZZZZZZ.jpg;1993
WILLIAM GOLDMAN;;http://images.amazon.com/images/P/0345348036.01.MZZZZZZZ.jpg;;345348036;;;;;Del Rey;The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure;http://images.amazon.com/images/P/0345348036.01.LZZZZZZZ.jpg;1987
Marc Reisner;;http://images.amazon.com/images/P/0679420118.01.MZZZZZZZ.jpg;;679420118;;;;;Pantheon Books;A Dangerous Place: California's Unsettling Fate (Images of America);http://images.amazon.com/images/P/0679420118.01.LZZZZZZZ.jpg;2003
Mark Bowden;;http://images.amazon.com/images/P/0871137380.01.MZZZZZZZ.jpg;;871137380;;;;;Atlantic Monthly Press;Black Hawk Down: A Story of Modern War;http://images.amazon.com/images/P/0871137380.01.LZZZZZZZ.jpg;1999
Jonathan Pearce;;http://images.amazon.com/images/P/0741409690.01.MZZZZZZZ.jpg;;741409690;;;;;Infinity Publishing.com;The Burberry Style;http://images.amazon.com/images/P/0741409690.01.LZZZZZZZ.jpg;2002
Jonathan Pearce;;http://images.amazon.com/images/P/0741407213.01.MZZZZZZZ.jpg;;741407213;;;;;Infinity Publishing.com;Heavier Than Air (Balona Books);http://images.amazon.com/images/P/0741407213.01.LZZZZZZZ.jpg;2001
Jonathan Pearce;;http://images.amazon.com/images/P/0759612277.01.MZZZZZZZ.jpg;;759612277;;;;;1stBooks Library;A Little Honesty: Trials and Triumphs of a Prince of Balona;http://images.amazon.com/images/P/0759612277.01.LZZZZZZZ.jpg;2001
Jonathan Pearce;;http://images.amazon.com/images/P/0741402858.01.MZZZZZZZ.jpg;;741402858;;;;;Buy Books on the web.com;The Balona Klongs;http://images.amazon.com/images/P/0741402858.01.LZZZZZZZ.jpg;1999
Jonathan Pearce;;http://images.amazon.com/images/P/1585007366.01.MZZZZZZZ.jpg;;1585007366;;;;;1stBooks Library;Sang Froyd (Balona Books);http://images.amazon.com/images/P/1585007366.01.LZZZZZZZ.jpg;1999
Jonathan Pearce;;http://images.amazon.com/images/P/074141127X.01.MZZZZZZZ.jpg;;074141127X;;;;;Infinity Publishing (PA);The Chocolate Korndog;http://images.amazon.com/images/P/074141127X.01.LZZZZZZZ.jpg;2002
Jonathan Pearce;;http://images.amazon.com/images/P/0741403471.01.MZZZZZZZ.jpg;;741403471;;;;;Infinity Publishing (PA);One Brick Shy;http://images.amazon.com/images/P/0741403471.01.LZZZZZZZ.jpg;2000
Jonathan Pearce;;http://images.amazon.com/images/P/0741403781.01.MZZZZZZZ.jpg;;741403781;;;;;Infinity Publishing (PA);Spring Break;http://images.amazon.com/images/P/0741403781.01.LZZZZZZZ.jpg;2000
Jonathan Pearce;;http://images.amazon.com/images/P/0741403056.01.MZZZZZZZ.jpg;;741403056;;;;;Infinity Publishing (PA);Focusing the Private Eye;http://images.amazon.com/images/P/0741403056.01.LZZZZZZZ.jpg;2000
Jonathan Pearce;;http://images.amazon.com/images/P/0741405784.01.MZZZZZZZ.jpg;;741405784;;;;;Infinity Publishing (PA);A Cuisine of Leftovers;http://images.amazon.com/images/P/0741405784.01.LZZZZZZZ.jpg;2000
Jonathan Pearce;;http://images.amazon.com/images/P/0741402912.01.MZZZZZZZ.jpg;;741402912;;;;;Infinity Publishing (PA);Finding Dad;http://images.amazon.com/images/P/0741402912.01.LZZZZZZZ.jpg;1999
Michael Palmer;;http://images.amazon.com/images/P/0553568760.01.MZZZZZZZ.jpg;;553568760;;;;;Bantam Books;Natural Causes;http://images.amazon.com/images/P/0553568760.01.LZZZZZZZ.jpg;1995
Richard North Patterson;;http://images.amazon.com/images/P/034538184X.01.MZZZZZZZ.jpg;;034538184X;;;;;Ballantine Books;Degree of Guilt;http://images.amazon.com/images/P/034538184X.01.LZZZZZZZ.jpg;1995
Emily Bronte;;http://images.amazon.com/images/P/0140620125.01.MZZZZZZZ.jpg;;140620125;;;;;Penguin Books Ltd;Wuthering Heights (Penguin Popular Classics);http://images.amazon.com/images/P/0140620125.01.LZZZZZZZ.jpg;1994
Jane Austen;;http://images.amazon.com/images/P/0140620109.01.MZZZZZZZ.jpg;;140620109;;;;;Penguin Books Ltd;Emma (Penguin Popular Classics);http://images.amazon.com/images/P/0140620109.01.LZZZZZZZ.jpg;1994
Alain de Botton;;http://images.amazon.com/images/P/0375420827.01.MZZZZZZZ.jpg;;375420827;;;;;Pantheon;The Art of Travel;http://images.amazon.com/images/P/0375420827.01.LZZZZZZZ.jpg;2002
Douglas Adams;;http://images.amazon.com/images/P/0671745530.01.MZZZZZZZ.jpg;;671745530;;;;;Pocket;SO LONG AND THANKS FOR ALL THE FISH (Hitchhiker's Trilogy (Paperback));http://images.amazon.com/images/P/0671745530.01.LZZZZZZZ.jpg;1991
Chuck Palahniuk;;http://images.amazon.com/images/P/0805062971.01.MZZZZZZZ.jpg;;805062971;;;;;Owl Books;Fight Club;http://images.amazon.com/images/P/0805062971.01.LZZZZZZZ.jpg;1999
Emily Bronte;;http://images.amazon.com/images/P/0553211412.01.MZZZZZZZ.jpg;;553211412;;;;;Bantam;Wuthering Heights;http://images.amazon.com/images/P/0553211412.01.LZZZZZZZ.jpg;1983
Annie Proulx;;http://images.amazon.com/images/P/0671510053.01.MZZZZZZZ.jpg;;671510053;;;;;Scribner;SHIPPING NEWS;http://images.amazon.com/images/P/0671510053.01.LZZZZZZZ.jpg;1994
Adam Davies;;http://images.amazon.com/images/P/1573229385.01.MZZZZZZZ.jpg;;1573229385;;;;;Riverhead Books;The Frog King: A Love Story;http://images.amazon.com/images/P/1573229385.01.LZZZZZZZ.jpg;2002
Harry M. Walker;;http://images.amazon.com/images/P/0945397410.01.MZZZZZZZ.jpg;;945397410;;;;;Epicenter Press;Outhouses of Alaska;http://images.amazon.com/images/P/0945397410.01.LZZZZZZZ.jpg;1996
Nicholas Evans;;http://images.amazon.com/images/P/0385334036.01.MZZZZZZZ.jpg;;385334036;;;;;Delacorte Press;The Smoke Jumper;http://images.amazon.com/images/P/0385334036.01.LZZZZZZZ.jpg;2001
Milan Kundera;;http://images.amazon.com/images/P/0060914653.01.MZZZZZZZ.jpg;;60914653;;;;;Harpercollins;The Unbearable Lightness of Being;http://images.amazon.com/images/P/0060914653.01.LZZZZZZZ.jpg;1988
Piers Anthony;;http://images.amazon.com/images/P/0345347536.01.MZZZZZZZ.jpg;;345347536;;;;;Del Rey Books;A Spell for Chameleon (Xanth Novels (Paperback));http://images.amazon.com/images/P/0345347536.01.LZZZZZZZ.jpg;1987
L.M. MONTGOMERY;;http://images.amazon.com/images/P/055321313X.01.MZZZZZZZ.jpg;;055321313X;;;;;Bantam Classics;Anne of Green Gables (Anne of Green Gables Novels (Paperback));http://images.amazon.com/images/P/055321313X.01.LZZZZZZZ.jpg;1982
Vinke;;http://images.amazon.com/images/P/3473540420.01.MZZZZZZZ.jpg;;3473540420;;;;;Ravensburger Buchverlag Otto Maier GmbH;Das Kurze Leben Der Sophie Scholl (Fiction, Poetry and Drama);http://images.amazon.com/images/P/3473540420.01.LZZZZZZZ.jpg;0
DAVID MITCHELL;;http://images.amazon.com/images/P/0375507256.01.MZZZZZZZ.jpg;;375507256;;;;;Random House Trade Paperbacks;Cloud Atlas : A Novel;http://images.amazon.com/images/P/0375507256.01.LZZZZZZZ.jpg;2004
Jonathan Safran Foer;;http://images.amazon.com/images/P/0060529709.01.MZZZZZZZ.jpg;;60529709;;;;;Perennial;Everything Is Illuminated : A Novel;http://images.amazon.com/images/P/0060529709.01.LZZZZZZZ.jpg;2003
Charles Bukowski;;http://images.amazon.com/images/P/0876850867.01.MZZZZZZZ.jpg;;876850867;;;;;Black Sparrow Books;Post Office;http://images.amazon.com/images/P/0876850867.01.LZZZZZZZ.jpg;1980
Jack Kerouac;;http://images.amazon.com/images/P/0140274154.01.MZZZZZZZ.jpg;;140274154;;;;;Penguin Books Ltd;On the Road (Essential.penguin S.);http://images.amazon.com/images/P/0140274154.01.LZZZZZZZ.jpg;1998
Haruki Murakami;;http://images.amazon.com/images/P/0679743464.01.MZZZZZZZ.jpg;;679743464;;;;;Vintage Books USA;Hard-Boiled Wonderland and the End of the World: A Novel (Vintage International);http://images.amazon.com/images/P/0679743464.01.LZZZZZZZ.jpg;1993
Haruki Murakami;;http://images.amazon.com/images/P/0375704027.01.MZZZZZZZ.jpg;;375704027;;;;;Vintage Books USA;Norwegian Wood (Vintage International Original);http://images.amazon.com/images/P/0375704027.01.LZZZZZZZ.jpg;2000
Frances Hodgson  Burnett;;http://images.amazon.com/images/P/0874067391.01.MZZZZZZZ.jpg;;874067391;;;;;Pages Publishing Group;A Little Princess;http://images.amazon.com/images/P/0874067391.01.LZZZZZZZ.jpg;1996
Patricia C. Wrede;;http://images.amazon.com/images/P/0590484753.01.MZZZZZZZ.jpg;;590484753;;;;;Point Fantasy;Talking to Dragons (Enchanted Forest Chronicles (Paperback));http://images.amazon.com/images/P/0590484753.01.LZZZZZZZ.jpg;1995
Jack London;;http://images.amazon.com/images/P/0451527038.01.MZZZZZZZ.jpg;;451527038;;;;;Signet Classics;The Call of the Wild: And Selected Stories (Signet Classics (Paperback));http://images.amazon.com/images/P/0451527038.01.LZZZZZZZ.jpg;1998
Bruce Wilkinson;;http://images.amazon.com/images/P/1590520777.01.MZZZZZZZ.jpg;;1590520777;;;;;Multnomah;A Life God Rewards for Teens (The Breakthrough Series);http://images.amazon.com/images/P/1590520777.01.LZZZZZZZ.jpg;2002
Patricia C. Wrede;;http://images.amazon.com/images/P/0590484672.01.MZZZZZZZ.jpg;;590484672;;;;;Point Fantasy;Calling on Dragons (Read with Me Paperbacks);http://images.amazon.com/images/P/0590484672.01.LZZZZZZZ.jpg;1994
